id,loan_amount,grade,purpose,home_ownership,income,dti,fico,loan_status
504914,4000.0,7,debt_consolidation,0,60000.0,9.57,770.0,1
854783,12000.0,4,debt_consolidation,1,200000.0,26.35,660.0,1
330013,12000.0,5,debt_consolidation,1,70000.0,25.0,685.0,0
94418,25000.0,6,debt_consolidation,0,96000.0,17.61,725.0,1
430496,3000.0,4,other,0,56000.0,6.54,705.0,1
332894,16000.0,6,debt_consolidation,0,130000.0,6.77,665.0,1
599991,18000.0,5,debt_consolidation,0,120000.0,3.45,725.0,1
805138,21000.0,7,debt_consolidation,1,151000.0,12.66,715.0,1
433023,8500.0,5,credit_card,1,85000.0,23.45,735.0,1
936762,25475.0,5,debt_consolidation,0,58000.0,18.54,695.0,1
194230,11400.0,5,debt_consolidation,0,46000.0,14.32,675.0,0
1623792,18000.0,4,debt_consolidation,1,90000.0,9.01,670.0,1
708717,13000.0,5,other,1,75000.0,28.27,725.0,1
1155928,10000.0,6,debt_consolidation,0,51000.0,24.68,670.0,1
1155570,20000.0,4,debt_consolidation,1,83200.0,30.49,670.0,1
879157,15000.0,6,debt_consolidation,0,71000.0,16.88,720.0,1
174887,19950.0,3,debt_consolidation,1,50000.0,12.84,710.0,1
464540,35000.0,6,credit_card,1,140000.0,14.56,705.0,1
1412547,10000.0,5,debt_consolidation,0,78000.0,22.86,675.0,1
951379,13350.0,6,debt_consolidation,1,90000.0,20.21,705.0,1
348579,1500.0,5,home_improvement,1,22800.0,23.63,680.0,0
838254,19700.0,3,debt_consolidation,1,45000.0,25.81,670.0,1
699007,26400.0,7,credit_card,1,62000.0,21.95,750.0,1
44901,9600.0,6,debt_consolidation,0,72000.0,16.56,720.0,1
248346,5000.0,7,debt_consolidation,1,50000.0,12.7,790.0,1
213882,7100.0,3,debt_consolidation,1,50000.0,24.56,660.0,1
824240,26000.0,5,credit_card,1,63356.0,8.88,685.0,1
1612313,16000.0,6,debt_consolidation,1,145000.0,12.31,690.0,0
378516,20000.0,5,other,1,50000.0,11.83,805.0,1
1079633,11200.0,5,credit_card,0,38000.0,20.4,670.0,1
51484,18000.0,6,credit_card,0,64272.0,10.81,670.0,1
940714,9600.0,6,debt_consolidation,0,48000.0,15.3,690.0,0
60260,18000.0,6,debt_consolidation,1,50000.0,21.7,680.0,1
920180,10000.0,6,debt_consolidation,0,55000.0,22.76,675.0,0
101162,28775.0,1,debt_consolidation,0,80000.0,26.94,680.0,0
67767,20000.0,3,debt_consolidation,0,50000.0,6.7,680.0,0
1354876,28000.0,4,debt_consolidation,1,84000.0,22.61,670.0,1
963519,9850.0,5,debt_consolidation,0,41375.0,27.93,675.0,1
288116,17000.0,6,debt_consolidation,1,64000.0,22.6,700.0,0
810030,4000.0,6,credit_card,1,35000.0,27.78,670.0,1
846226,21000.0,6,major_purchase,1,120000.0,14.78,730.0,1
907798,15000.0,6,debt_consolidation,0,61000.0,14.77,680.0,1
460004,10000.0,5,debt_consolidation,1,135000.0,14.97,680.0,0
829040,20000.0,6,debt_consolidation,1,100000.0,31.66,675.0,1
117014,10000.0,5,home_improvement,1,30000.0,19.88,675.0,0
985476,5400.0,5,credit_card,0,48000.0,24.28,670.0,1
1637423,15000.0,3,debt_consolidation,0,55000.0,24.31,675.0,0
12493,10000.0,5,debt_consolidation,1,40000.0,22.11,705.0,1
674237,17200.0,7,credit_card,0,80000.0,20.3,705.0,1
330328,10000.0,6,credit_card,0,45000.0,6.85,670.0,1
500033,29800.0,3,debt_consolidation,0,71000.0,21.16,675.0,0
457199,8000.0,5,debt_consolidation,0,50000.0,8.83,675.0,1
1543745,16000.0,7,credit_card,1,100000.0,4.32,760.0,1
519718,8400.0,7,credit_card,1,35000.0,32.06,745.0,1
165607,5000.0,4,debt_consolidation,0,45000.0,13.65,700.0,1
1344874,24700.0,5,debt_consolidation,1,44646.0,38.06,715.0,1
862169,9000.0,4,debt_consolidation,0,42000.0,19.66,675.0,1
1323686,15000.0,5,debt_consolidation,1,63000.0,6.0,715.0,1
380335,5000.0,7,other,1,112000.0,15.49,710.0,1
189255,17600.0,3,debt_consolidation,0,55000.0,18.72,675.0,1
1096171,40000.0,6,major_purchase,1,100000.0,13.51,725.0,1
22813,12000.0,6,debt_consolidation,1,110000.0,15.28,685.0,0
946339,32875.0,3,debt_consolidation,0,109500.0,23.05,715.0,1
388498,20000.0,6,debt_consolidation,1,72000.0,22.83,710.0,1
903820,8850.0,6,credit_card,0,30000.0,28.84,695.0,1
111299,10000.0,4,debt_consolidation,0,50000.0,11.09,735.0,1
967743,2000.0,6,major_purchase,1,104000.0,17.97,690.0,1
123875,5000.0,4,debt_consolidation,0,70000.0,12.68,670.0,1
1311893,35000.0,5,debt_consolidation,1,150000.0,12.41,670.0,1
302196,5000.0,6,debt_consolidation,0,42000.0,12.14,680.0,1
833180,10000.0,3,debt_consolidation,1,63000.0,9.43,665.0,1
810736,6000.0,7,credit_card,0,91000.0,14.49,730.0,1
141202,3975.0,4,debt_consolidation,0,60320.0,17.67,680.0,0
1162780,5000.0,6,credit_card,0,80000.0,24.44,665.0,0
494141,24800.0,3,debt_consolidation,1,62000.0,17.87,715.0,1
632253,7000.0,5,home_improvement,1,69100.0,9.41,670.0,0
805386,4800.0,5,vacation,0,20800.0,14.85,690.0,0
415569,18200.0,7,credit_card,1,112200.0,26.78,695.0,1
188999,20000.0,7,credit_card,1,201000.0,20.66,740.0,1
636306,21000.0,6,credit_card,1,150000.0,18.87,680.0,1
926458,15500.0,6,home_improvement,1,50000.0,10.86,710.0,1
1547264,10000.0,6,debt_consolidation,1,190000.0,20.56,665.0,1
234100,19000.0,7,credit_card,1,91000.0,16.85,725.0,1
345995,12000.0,6,debt_consolidation,1,75000.0,20.61,750.0,1
915803,14300.0,5,debt_consolidation,1,41000.0,20.4,700.0,1
1594155,2000.0,5,vacation,1,76000.0,27.6,695.0,1
284539,15000.0,6,home_improvement,1,750000.0,3.64,720.0,1
529917,10500.0,3,car,0,45000.0,22.05,670.0,0
21272,18000.0,6,debt_consolidation,1,60000.0,13.19,675.0,1
1557014,40000.0,7,debt_consolidation,1,127000.0,19.5,735.0,1
236382,25000.0,5,debt_consolidation,1,80000.0,14.65,720.0,1
585526,4000.0,5,debt_consolidation,0,47000.0,29.78,675.0,0
409020,7200.0,7,home_improvement,1,85000.0,38.92,720.0,1
65101,22225.0,6,debt_consolidation,1,50000.0,30.39,705.0,1
1406804,32000.0,5,debt_consolidation,1,138000.0,16.75,710.0,1
981401,10000.0,5,credit_card,0,50000.0,18.46,690.0,1
1552864,14400.0,5,debt_consolidation,0,72500.0,17.98,665.0,1
493567,28000.0,4,debt_consolidation,1,78000.0,35.06,690.0,1
26271,19750.0,5,debt_consolidation,0,44136.0,27.62,735.0,0
143520,10800.0,6,debt_consolidation,1,35000.0,19.63,700.0,1
269035,5000.0,4,debt_consolidation,1,55000.0,2.42,665.0,1
199382,35000.0,4,car,1,609000.0,1.58,665.0,0
95272,34875.0,1,debt_consolidation,1,144000.0,26.64,700.0,0
144641,12000.0,7,debt_consolidation,1,100000.0,11.55,790.0,1
259514,25000.0,1,debt_consolidation,1,81600.0,22.12,660.0,1
62385,4000.0,6,credit_card,0,17000.0,16.58,670.0,1
222410,12000.0,6,debt_consolidation,1,44000.0,16.23,730.0,1
873664,15000.0,6,debt_consolidation,0,67500.0,17.11,685.0,1
173941,10300.0,4,debt_consolidation,0,72000.0,28.85,675.0,1
274586,25000.0,6,major_purchase,1,225000.0,4.51,755.0,1
53315,15000.0,5,debt_consolidation,0,120000.0,9.88,700.0,1
1135886,5950.0,4,debt_consolidation,1,50000.0,18.82,665.0,1
618549,20000.0,7,debt_consolidation,1,85000.0,18.8,740.0,0
458843,14000.0,3,vacation,1,78200.0,22.73,665.0,1
591810,17500.0,5,debt_consolidation,0,102000.0,4.64,660.0,1
83993,8000.0,6,debt_consolidation,0,33600.0,8.14,680.0,1
620556,6500.0,5,debt_consolidation,0,50000.0,30.69,660.0,0
1164399,6000.0,6,debt_consolidation,0,58000.0,12.41,710.0,1
39674,15000.0,3,debt_consolidation,0,50000.0,27.1,665.0,1
1489588,12000.0,6,medical,0,55000.0,12.9,675.0,0
560503,18000.0,4,debt_consolidation,1,75000.0,32.22,680.0,0
