,company_id,category_code,country_code,state_code,average_funded,total_rounds,average_participants,products_number,offices,acquired_companies,mba_degree,phd_degree,ms_degree,other_degree,ipo,is_acquired,is_closed,age,Success,number_degrees
12958,c:239393,software,other,other,161671.0,1,1.0,,1.0,,,,,,False,False,False,549.0,0,
12959,c:2394,enterprise,USA,California,22000000.0,1,2.0,,1.0,2.0,3.0,,,15.0,False,False,False,4383.0,0,
12960,c:23940,,USA,California,4600000.0,1,2.0,,1.0,,1.0,,,2.0,False,False,False,3653.0,0,
12961,c:23941,ecommerce,other,other,50000.0,1,0.0,4.0,,,,,,,False,False,True,2376.0,0,
12962,c:239441,health,USA,other,40000000.0,1,5.0,,1.0,,,,,2.0,False,False,False,184.0,0,
12963,c:239442,web,other,other,147532.0,2,2.0,3.0,1.0,,,,,,False,False,False,945.0,0,
12964,c:23948,software,other,other,150000.0,2,0.0,,,,1.0,,,2.0,False,False,False,1857.0,0,
12965,c:239493,biotech,USA,California,5000000.0,1,0.0,,1.0,,,,,2.0,False,False,False,4748.0,0,
12966,c:2395,software,USA,California,10000000.0,1,2.0,,1.0,,2.0,,2.0,12.0,False,True,False,2877.0,1,
12967,c:23951,fashion,USA,other,3919999.3333,3,1.3333,,1.0,,2.0,,2.0,6.0,False,False,False,1826.0,0,
12968,c:23958,enterprise,USA,other,2498561.0,4,2.25,,2.0,,6.0,,1.0,12.0,False,False,False,2891.0,0,
12969,c:239603,,other,other,,1,1.0,,,,,,,1.0,False,False,False,,0,
12970,c:23961,software,USA,other,6000000.0,1,1.0,,1.0,,1.0,,,2.0,False,True,False,1947.0,1,
12971,c:23962,software,USA,California,6399500.0,4,3.25,3.0,2.0,,1.0,,2.0,13.0,False,False,False,4383.0,0,
12972,c:23963,games_video,USA,other,11050000.0,6,1.5,3.0,1.0,,1.0,,2.0,6.0,False,True,False,4732.0,1,
12973,c:23968,analytics,USA,other,15000000.0,1,1.0,,1.0,,,,,,False,False,False,5479.0,0,
12974,c:239686,web,other,other,1050000.0,1,0.0,,,,,,,,False,False,False,640.0,0,
12975,c:23969,analytics,USA,other,20000000.0,1,2.0,3.0,3.0,,1.0,,,1.0,False,False,False,4505.0,0,
12976,c:23971,cleantech,USA,other,16842500.0,4,3.5,,1.0,,1.0,1.0,1.0,5.0,False,False,False,2922.0,0,8.0
12977,c:23972,cleantech,USA,California,48085714.2857,7,2.0,,1.0,,9.0,1.0,1.0,8.0,False,False,False,2557.0,0,19.0
12978,c:23973,consulting,other,other,10040000.0,1,1.0,,1.0,,1.0,,3.0,3.0,False,False,False,5479.0,0,
12979,c:23974,cleantech,other,other,10000000.0,1,1.0,,1.0,,,,,,False,False,False,4658.0,0,
12980,c:23976,cleantech,USA,California,55000000.0,4,3.5,,1.0,,4.0,3.0,2.0,9.0,False,False,False,2922.0,0,18.0
12981,c:23977,cleantech,USA,other,8000000.0,1,1.0,,1.0,,,,,,False,False,False,3653.0,0,
12982,c:23978,cleantech,USA,other,8000000.0,1,2.0,,1.0,,,,,1.0,False,True,False,,1,
12983,c:23979,advertising,USA,California,3583333.3333,3,2.3333,,1.0,,5.0,,,11.0,False,False,False,2223.0,0,
12984,c:2398,web,USA,other,100000.0,1,1.0,,1.0,,,,,,False,False,False,2192.0,0,
12985,c:23981,cleantech,other,other,7920000.0,1,1.0,,1.0,,,,,,False,False,False,6209.0,0,
12986,c:239855,news,USA,California,175000.0,1,0.0,,1.0,,2.0,,,2.0,False,False,False,1096.0,0,
12987,c:239876,automotive,other,other,,1,3.0,,1.0,,,,,,False,False,False,,0,
12988,c:239879,network_hosting,USA,other,3999999.0,1,0.0,,1.0,,,,,,False,False,False,1096.0,0,
12989,c:23988,biotech,USA,California,24600000.0,4,5.75,,1.0,,9.0,13.0,8.0,35.0,False,False,False,3075.0,0,65.0
12990,c:239889,software,other,other,,1,1.0,,1.0,,,,,,False,False,False,3653.0,0,
12991,c:23989,software,other,other,4750000.0,2,1.0,,1.0,,,,,,False,False,True,2345.0,0,
