,company_id,category_code,country_code,state_code,average_funded,total_rounds,average_participants,products_number,offices,acquired_companies,mba_degree,phd_degree,ms_degree,other_degree,ipo,is_acquired,is_closed,age
11598,c:229385,software,USA,other,100000.0,1,0.0,,1.0,,,,,,False,False,False,1826.0
11601,c:229453,ecommerce,other,other,1598333.3333,3,0.0,,1.0,,,,1.0,,False,False,False,1471.0
11605,c:229572,ecommerce,other,other,,3,1.3333,,1.0,,,,,1.0,False,False,False,1461.0
11608,c:22959,search,other,other,20000.0,1,0.0,,,,,,,,False,False,False,2192.0
11610,c:229631,social,other,other,,1,1.0,,1.0,,,,,,False,False,False,1196.0
11612,c:229649,social,other,other,,1,1.0,,1.0,,,,,,False,False,False,1096.0
11624,c:22986,games_video,other,other,3080000.0,5,1.0,1.0,,,,,,6.0,False,False,False,2192.0
11632,c:22994,software,USA,other,7000000.0,1,3.0,1.0,1.0,,1.0,,,1.0,False,True,False,1493.0
11635,c:23,games_video,USA,other,45000000.0,1,3.0,1.0,1.0,,2.0,,5.0,12.0,False,True,False,1150.0
11640,c:23010,web,USA,other,1818333.3333,3,7.0,1.0,1.0,2.0,2.0,1.0,,6.0,False,False,False,1826.0
11647,c:230236,analytics,USA,other,1000000.0,1,0.0,,2.0,,,,,,False,False,False,1430.0
11650,c:230290,finance,USA,other,10000000.0,1,2.0,,1.0,,,,,1.0,False,False,False,1096.0
11653,c:23042,network_hosting,USA,California,,1,0.0,1.0,1.0,,,,,,False,False,False,1857.0
11654,c:23044,cleantech,USA,other,858333.3333,3,0.0,3.0,4.0,,5.0,,1.0,5.0,False,False,False,2192.0
11660,c:230505,enterprise,other,other,220006.0,1,0.0,,1.0,,,,,,False,False,False,1461.0
11661,c:23052,fashion,USA,California,20500000.0,2,1.5,,1.0,,,,1.0,8.0,False,True,False,1174.0
11666,c:23056,messaging,USA,other,7500000.0,2,2.0,,1.0,,4.0,,1.0,9.0,False,False,False,2132.0
11677,c:230668,mobile,NZL,other,3292000.0,1,0.0,,1.0,,,,,,False,False,False,1218.0
